0 -> U0L0,0 -> U1L1
2.902169427971753e-05,0.0004472026683759015
2.145572625555201e-05,0.00032388688572101656
2.6927851675177778e-05,0.00018190250742010976
3.2420094190369606e-05,0.0001875587011342462
4.340487058847371e-05,0.00012940876279592215
6.250954000210726e-05,0.00015769466015361916
3.53907299596899e-05,9.968881370079191e-05
4.7293048724470824e-05,0.00014272276203084974
4.4347061484368575e-05,0.00021302968493620955
3.345314761426376e-05,0.00021946679696707402
4.969156523442266e-05,0.00024351858583773845
