0 -> U2L0,0 -> U0L0
4.678313345129788e-05,8.589934291266003e-05
5.274324801683728e-05,0.00011458896814882192
3.3328724808081585e-05,6.108021047062037e-05
2.6256236745080233e-05,8.771827957460604e-05
3.902940389465172e-05,0.00012621487228776696
5.262768597023549e-05,0.00010691311899917931
4.0241930065954356e-05,0.0001489071619390187
2.169355739022127e-05,0.0001867899244763034
2.205506531154996e-05,0.00027760971072208427
3.234578782056529e-05,0.00019399026240530257
2.2417732823884e-05,0.00019266980917789897
