0 -> U1L1,0 -> U1L3
0.00030160200895176163,0.0005516345236053367
0.00015511009484942817,0.0006269879356450091
0.0001124847050304421,0.0003311494405624968
0.00011211008935295197,0.0003104043788213718
0.00014122185916826466,0.00040366140589364377
0.00020681199081190927,0.0005547223840514809
0.00029554682136959944,0.0003706878726190142
0.00028459728652115466,0.0005219223861335355
0.00042035070619562287,0.0006141144942580965
0.0004695685980425793,0.0008847155990935981
0.00030537858374933167,0.0011749999074195934
