0 -> U2L4,0 -> U2L0
0.0004802708987940651,9.048905873777015e-05
0.00031758075316254094,0.00012736763419312459
0.00021583799097091722,0.00012565328352480442
0.00011816805107527432,0.0001585815553954229
0.00012604557901510822,0.0002061016985640144
0.0001002914563004726,0.0002879356483096732
0.00014466464252694248,0.00027477698004417094
0.00018618622819814156,0.0003825590890113235
0.00018300885026992616,0.00032226641171327456
0.00013094896516707702,0.0003868925688880326
0.00017591375075196356,0.0002684994973223197
