0 -> U0L3,0 -> U3L0
7.190826618611604e-05,0.0002854340303900081
6.847472219370021e-05,0.00016751181760604034
7.848909848527077e-05,0.00011915668300837723
8.8432956120707e-05,0.00016372014637019438
5.9638794970365145e-05,0.000217973660368674
6.795101142742972e-05,0.00029987896371873026
0.0001005438562257705,0.0003553872868682187
0.00012044923107409101,0.00018954591669551597
0.00017821573846099368,0.00027164570945121906
9.417537921725101e-05,0.0003582620873349282
7.942821794214748e-05,0.00034850102436186775
