0 -> U2L0,0 -> L1
0.00042774740505650393,0.00015023965113623234
0.0005020052768472038,0.0002040080298373436
0.00041708472265553764,0.00012523493767971027
0.0005568851618685816,0.00015141913896512667
0.0004792528157983319,0.00019977804439969484
0.00028607758136531844,0.00013199032878316054
0.000161332636022337,0.00019693785695845846
9.304281555461873e-05,0.00019048120469089525
9.514389907984694e-05,0.0001342932976710508
0.00013320314220151343,0.00010672787699887724
0.00010001603923267058,0.00015082658845147037
